Source_Worklist,Well Nr. source plate,Well Nr. destination plate,Part,Volumen
Worklist_W,A1,A1,water,82.35058186666666
Worklist_W,A1,B1,water,90.74331216783216
Worklist_W,A1,C1,water,88.93175530726256
Worklist_W,A1,D1,water,77.03681904761905
Worklist_W,A1,E1,water,99.793713
Worklist_W,A1,A2,water,84.21285860465116
Worklist_W,A1,C2,water,93.32069844155845
Worklist_DNA,A1,A1,Psyn,17.649418133333334
Worklist_DNA,B1,B1,RBS,9.256687832167835
Worklist_DNA,C1,C1,aroF_S188C,11.06824469273743
Worklist_DNA,D1,D1,TrrnB,22.963180952380956
Worklist_DNA,E1,E1,DVK_AE,0.206287
Worklist_DNA,A2,A2,PH36,15.787141395348838
Worklist_DNA,C2,C2,aroC,6.6793015584415585
Worklist_PM_parts,B1,H1,RBS,15.0
Worklist_PM_parts,D1,H1,TrrnB,15.0
Worklist_PM_parts,E1,H1,DVK_AE,15.0
Worklist_PM,H1,A1,Plasmidmix1,4.0
Worklist_PM,H1,B1,Plasmidmix1,4.0
Worklist_PM,H1,C1,Plasmidmix1,4.0
Worklist_PM,H1,D1,Plasmidmix1,4.0
Worklist_MM,A1,A1,Mastermix1,4.0
Worklist_MM,A1,B1,Mastermix1,4.0
Worklist_MM,A1,C1,Mastermix1,4.0
Worklist_MM,A1,D1,Mastermix1,4.0
Worklist_P,A1,A1,Psyn,2.0
Worklist_P,A1,B1,Psyn,2.0
Worklist_P,A2,C1,PH36,2.0
Worklist_P,A2,D1,PH36,2.0
Worklist_RBS,B1,A1,RBS,2.0
Worklist_RBS,B1,B1,RBS,2.0
Worklist_RBS,B1,C1,RBS,2.0
Worklist_RBS,B1,D1,RBS,2.0
Worklist_GoI,C1,A1,aroF_S188C,2.0
Worklist_GoI,C2,B1,aroC,2.0
Worklist_GoI,C1,C1,aroF_S188C,2.0
Worklist_GoI,C2,D1,aroC,2.0
Worklist_GG_water,A1,A1,water,6.0
Worklist_GG_water,A1,B1,water,6.0
Worklist_GG_water,A1,C1,water,6.0
Worklist_GG_water,A1,D1,water,6.0
