Source_Worklist,Well Nr. source plate,Well Nr. destination plate,Part,Volumen
Worklist_W,A1,A1,water,189.12361568
Worklist_W,A1,B1,water,189.12361568
Worklist_W,A1,C1,water,186.15740768
Worklist_W,A1,A2,water,189.12361568
Worklist_W,A1,B2,water,189.12361568
Worklist_W,A1,C2,water,186.15740768
Worklist_W,A1,A3,water,189.12361568
Worklist_W,A1,B3,water,189.12361568
Worklist_W,A1,C3,water,186.15740768
Worklist_W,A1,A4,water,189.12361568
Worklist_W,A1,B4,water,189.12361568
Worklist_W,A1,C4,water,189.12361568
Worklist_W,A1,A5,water,189.12361568
Worklist_W,A1,B5,water,189.12361568
Worklist_W,A1,C5,water,186.15740768
Worklist_W,A1,A6,water,189.12361568
Worklist_W,A1,B6,water,189.12361568
Worklist_W,A1,A7,water,189.12361568
Worklist_DNA,A1,A1,P1,10.87638432
Worklist_DNA,B1,B1,RBS1,10.87638432
Worklist_DNA,C1,C1,ADC,13.84259232
Worklist_DNA,A2,A2,P2,10.87638432
Worklist_DNA,B2,B2,RBS2,10.87638432
Worklist_DNA,C2,C2,ecPanD,13.84259232
Worklist_DNA,A3,A3,P3,10.87638432
Worklist_DNA,B3,B3,RBS3,10.87638432
Worklist_DNA,C3,C3,cgPanD,13.84259232
Worklist_DNA,A4,A4,P4,10.87638432
Worklist_DNA,B4,B4,RBS4,10.87638432
Worklist_DNA,C4,C4,B0015,10.87638432
Worklist_DNA,A5,A5,P5,10.87638432
Worklist_DNA,B5,B5,RBS5,10.87638432
Worklist_DNA,C5,C5,DVK,13.84259232
Worklist_DNA,A6,A6,P6,10.87638432
Worklist_DNA,B6,B6,RBS6,10.87638432
Worklist_DNA,A7,A7,P7,10.87638432
Worklist_PM_parts,C5,D1,DVK,95.0
Worklist_PM_parts,C5,E1,DVK,95.0
Worklist_PM_parts,C4,D1,B0015,95.0
Worklist_PM_parts,C4,E1,B0015,95.0
Worklist_PM,D1,A1,Plasmidmix1,8.0
Worklist_PM,E1,B1,Plasmidmix2,8.0
Worklist_PM,D1,C1,Plasmidmix1,8.0
Worklist_PM,E1,D1,Plasmidmix2,8.0
Worklist_PM,D1,E1,Plasmidmix1,8.0
Worklist_PM,E1,F1,Plasmidmix2,8.0
Worklist_PM,D1,G1,Plasmidmix1,8.0
Worklist_PM,E1,H1,Plasmidmix2,8.0
Worklist_PM,D1,A2,Plasmidmix1,8.0
Worklist_PM,E1,B2,Plasmidmix2,8.0
Worklist_PM,D1,C2,Plasmidmix1,8.0
Worklist_PM,E1,D2,Plasmidmix2,8.0
Worklist_PM,D1,E2,Plasmidmix1,8.0
Worklist_PM,E1,F2,Plasmidmix2,8.0
Worklist_PM,D1,G2,Plasmidmix1,8.0
Worklist_PM,E1,H2,Plasmidmix2,8.0
Worklist_PM,D1,A3,Plasmidmix1,8.0
Worklist_PM,E1,B3,Plasmidmix2,8.0
Worklist_PM,D1,C3,Plasmidmix1,8.0
Worklist_PM,E1,D3,Plasmidmix2,8.0
Worklist_PM,D1,E3,Plasmidmix1,8.0
Worklist_PM,E1,F3,Plasmidmix2,8.0
Worklist_PM,D1,G3,Plasmidmix1,8.0
Worklist_PM,E1,H3,Plasmidmix2,8.0
Worklist_PM,D1,A4,Plasmidmix1,8.0
Worklist_PM,E1,B4,Plasmidmix2,8.0
Worklist_PM,D1,C4,Plasmidmix1,8.0
Worklist_PM,E1,D4,Plasmidmix2,8.0
Worklist_PM,D1,E4,Plasmidmix1,8.0
Worklist_PM,E1,F4,Plasmidmix2,8.0
Worklist_PM,D1,G4,Plasmidmix1,8.0
Worklist_PM,E1,H4,Plasmidmix2,8.0
Worklist_PM,D1,A5,Plasmidmix1,8.0
Worklist_PM,E1,B5,Plasmidmix2,8.0
Worklist_PM,D1,C5,Plasmidmix1,8.0
Worklist_PM,E1,D5,Plasmidmix2,8.0
Worklist_PM,D1,E5,Plasmidmix1,8.0
Worklist_PM,E1,F5,Plasmidmix2,8.0
Worklist_PM,D1,G5,Plasmidmix1,8.0
Worklist_PM,E1,H5,Plasmidmix2,8.0
Worklist_PM,D1,A6,Plasmidmix1,8.0
Worklist_PM,E1,B6,Plasmidmix2,8.0
Worklist_MM,A1,A1,Mastermix1,6.0
Worklist_MM,B1,B1,Mastermix2,6.0
Worklist_MM,C1,C1,Mastermix3,6.0
Worklist_MM,D1,D1,Mastermix4,6.0
Worklist_MM,E1,E1,Mastermix5,6.0
Worklist_MM,F1,F1,Mastermix6,6.0
Worklist_MM,G1,G1,Mastermix7,6.0
Worklist_MM,H1,H1,Mastermix8,6.0
Worklist_MM,A1,A2,Mastermix1,6.0
Worklist_MM,B1,B2,Mastermix2,6.0
Worklist_MM,C1,C2,Mastermix3,6.0
Worklist_MM,D1,D2,Mastermix4,6.0
Worklist_MM,E1,E2,Mastermix5,6.0
Worklist_MM,F1,F2,Mastermix6,6.0
Worklist_MM,G1,G2,Mastermix7,6.0
Worklist_MM,H1,H2,Mastermix8,6.0
Worklist_MM,A1,A3,Mastermix1,6.0
Worklist_MM,B1,B3,Mastermix2,6.0
Worklist_MM,C1,C3,Mastermix3,6.0
Worklist_MM,D1,D3,Mastermix4,6.0
Worklist_MM,E1,E3,Mastermix5,6.0
Worklist_MM,F1,F3,Mastermix6,6.0
Worklist_MM,G1,G3,Mastermix7,6.0
Worklist_MM,H1,H3,Mastermix8,6.0
Worklist_MM,A1,A4,Mastermix1,6.0
Worklist_MM,B1,B4,Mastermix2,6.0
Worklist_MM,C1,C4,Mastermix3,6.0
Worklist_MM,D1,D4,Mastermix4,6.0
Worklist_MM,E1,E4,Mastermix5,6.0
Worklist_MM,F1,F4,Mastermix6,6.0
Worklist_MM,G1,G4,Mastermix7,6.0
Worklist_MM,H1,H4,Mastermix8,6.0
Worklist_MM,A1,A5,Mastermix1,6.0
Worklist_MM,B1,B5,Mastermix2,6.0
Worklist_MM,C1,C5,Mastermix3,6.0
Worklist_MM,D1,D5,Mastermix4,6.0
Worklist_MM,E1,E5,Mastermix5,6.0
Worklist_MM,F1,F5,Mastermix6,6.0
Worklist_MM,G1,G5,Mastermix7,6.0
Worklist_MM,H1,H5,Mastermix8,6.0
Worklist_MM,A1,A6,Mastermix1,6.0
Worklist_MM,B1,B6,Mastermix2,6.0
Worklist_P,A1,A1,P1,4.0
Worklist_P,A2,B1,P2,4.0
Worklist_P,A3,C1,P3,4.0
Worklist_P,A4,D1,P4,4.0
Worklist_P,A5,E1,P5,4.0
Worklist_P,A6,F1,P6,4.0
Worklist_P,A7,G1,P7,4.0
Worklist_P,A1,H1,P1,4.0
Worklist_P,A2,A2,P2,4.0
Worklist_P,A3,B2,P3,4.0
Worklist_P,A4,C2,P4,4.0
Worklist_P,A5,D2,P5,4.0
Worklist_P,A6,E2,P6,4.0
Worklist_P,A7,F2,P7,4.0
Worklist_P,A1,G2,P1,4.0
Worklist_P,A2,H2,P2,4.0
Worklist_P,A3,A3,P3,4.0
Worklist_P,A4,B3,P4,4.0
Worklist_P,A5,C3,P5,4.0
Worklist_P,A6,D3,P6,4.0
Worklist_P,A7,E3,P7,4.0
Worklist_P,A1,F3,P1,4.0
Worklist_P,A2,G3,P2,4.0
Worklist_P,A3,H3,P3,4.0
Worklist_P,A4,A4,P4,4.0
Worklist_P,A5,B4,P5,4.0
Worklist_P,A6,C4,P6,4.0
