Well Nr. source plate,Well Nr. destination plate,Part,Volumen
C1,A1,ADC,4.0
C1,B1,ADC,4.0
C1,C1,ADC,4.0
C1,D1,ADC,4.0
C1,E1,ADC,4.0
C1,F1,ADC,4.0
C1,G1,ADC,4.0
C1,H1,ADC,4.0
C2,A2,ecPanD,4.0
C2,B2,ecPanD,4.0
C2,C2,ecPanD,4.0
C2,D2,ecPanD,4.0
C2,E2,ecPanD,4.0
C2,F2,ecPanD,4.0
C2,G2,ecPanD,4.0
C2,H2,ecPanD,4.0
C3,A3,cgPanD,4.0
C3,B3,cgPanD,4.0
C3,C3,cgPanD,4.0
C3,D3,cgPanD,4.0
C3,E3,cgPanD,4.0
C3,F3,cgPanD,4.0
C3,G3,cgPanD,4.0
C3,H3,cgPanD,4.0
C1,A4,ADC,4.0
C1,B4,ADC,4.0
C1,C4,ADC,4.0
C1,D4,ADC,4.0
C1,E4,ADC,4.0
C1,F4,ADC,4.0
C1,G4,ADC,4.0
C1,H4,ADC,4.0
C2,A5,ecPanD,4.0
C2,B5,ecPanD,4.0
C2,C5,ecPanD,4.0
C3,D5,cgPanD,4.0
C3,E5,cgPanD,4.0
C3,F5,cgPanD,4.0
C1,G5,ADC,4.0
C1,H5,ADC,4.0
C1,A6,ADC,4.0
C1,B6,ADC,4.0
