Well Nr. source plate,Well Nr. destination plate,Part,Volumen
A1,A1,P1,4.0
A2,B1,P2,4.0
A3,C1,P3,4.0
A4,D1,P4,4.0
A5,E1,P5,4.0
A6,F1,P6,4.0
A7,G1,P7,4.0
A1,H1,P1,4.0
A2,A2,P2,4.0
A3,B2,P3,4.0
A4,C2,P4,4.0
A5,D2,P5,4.0
A6,E2,P6,4.0
A7,F2,P7,4.0
A1,G2,P1,4.0
A2,H2,P2,4.0
A3,A3,P3,4.0
A4,B3,P4,4.0
A5,C3,P5,4.0
A6,D3,P6,4.0
A7,E3,P7,4.0
A1,F3,P1,4.0
A2,G3,P2,4.0
A3,H3,P3,4.0
A4,A4,P4,4.0
A5,B4,P5,4.0
A6,C4,P6,4.0
A7,D4,P7,4.0
A1,E4,P1,4.0
A2,F4,P2,4.0
A3,G4,P3,4.0
A4,H4,P4,4.0
A5,A5,P5,4.0
A6,B5,P6,4.0
A7,C5,P7,4.0
A1,D5,P1,4.0
A2,E5,P2,4.0
A3,F5,P3,4.0
A4,G5,P4,4.0
A5,H5,P5,4.0
A6,A6,P6,4.0
A7,B6,P7,4.0
