Well Nr. source plate,Well Nr. destination plate,Part,Volumen
D1,A1,Plasmidmix1,8.0
E1,B1,Plasmidmix2,8.0
D1,C1,Plasmidmix1,8.0
E1,D1,Plasmidmix2,8.0
D1,E1,Plasmidmix1,8.0
E1,F1,Plasmidmix2,8.0
D1,G1,Plasmidmix1,8.0
E1,H1,Plasmidmix2,8.0
D1,A2,Plasmidmix1,8.0
E1,B2,Plasmidmix2,8.0
D1,C2,Plasmidmix1,8.0
E1,D2,Plasmidmix2,8.0
D1,E2,Plasmidmix1,8.0
E1,F2,Plasmidmix2,8.0
D1,G2,Plasmidmix1,8.0
E1,H2,Plasmidmix2,8.0
D1,A3,Plasmidmix1,8.0
E1,B3,Plasmidmix2,8.0
D1,C3,Plasmidmix1,8.0
E1,D3,Plasmidmix2,8.0
D1,E3,Plasmidmix1,8.0
E1,F3,Plasmidmix2,8.0
D1,G3,Plasmidmix1,8.0
E1,H3,Plasmidmix2,8.0
D1,A4,Plasmidmix1,8.0
E1,B4,Plasmidmix2,8.0
D1,C4,Plasmidmix1,8.0
E1,D4,Plasmidmix2,8.0
D1,E4,Plasmidmix1,8.0
E1,F4,Plasmidmix2,8.0
D1,G4,Plasmidmix1,8.0
E1,H4,Plasmidmix2,8.0
D1,A5,Plasmidmix1,8.0
E1,B5,Plasmidmix2,8.0
D1,C5,Plasmidmix1,8.0
E1,D5,Plasmidmix2,8.0
D1,E5,Plasmidmix1,8.0
E1,F5,Plasmidmix2,8.0
D1,G5,Plasmidmix1,8.0
E1,H5,Plasmidmix2,8.0
D1,A6,Plasmidmix1,8.0
E1,B6,Plasmidmix2,8.0
