Well Nr. source plate,Well Nr. destination plate,Part,Volumen
B1,A1,RBS1,4.0
B2,B1,RBS2,4.0
B3,C1,RBS3,4.0
B4,D1,RBS4,4.0
B5,E1,RBS5,4.0
B6,F1,RBS6,4.0
B1,G1,RBS1,4.0
B2,H1,RBS2,4.0
B3,A2,RBS3,4.0
B4,B2,RBS4,4.0
B5,C2,RBS5,4.0
B6,D2,RBS6,4.0
B1,E2,RBS1,4.0
B2,F2,RBS2,4.0
B3,G2,RBS3,4.0
B4,H2,RBS4,4.0
B5,A3,RBS5,4.0
B6,B3,RBS6,4.0
B1,C3,RBS1,4.0
B2,D3,RBS2,4.0
B3,E3,RBS3,4.0
B4,F3,RBS4,4.0
B5,G3,RBS5,4.0
B6,H3,RBS6,4.0
B1,A4,RBS1,4.0
B2,B4,RBS2,4.0
B3,C4,RBS3,4.0
B4,D4,RBS4,4.0
B5,E4,RBS5,4.0
B6,F4,RBS6,4.0
B1,G4,RBS1,4.0
B2,H4,RBS2,4.0
B3,A5,RBS3,4.0
B4,B5,RBS4,4.0
B5,C5,RBS5,4.0
B6,D5,RBS6,4.0
B1,E5,RBS1,4.0
B2,F5,RBS2,4.0
B3,G5,RBS3,4.0
B4,H5,RBS4,4.0
B5,A6,RBS5,4.0
B6,B6,RBS6,4.0
