Well Nr. source plate,Well Nr. destination plate,Part,Volumen
A1,A1,water,189.12361568
A1,B1,water,189.12361568
A1,C1,water,186.15740768
A1,A2,water,189.12361568
A1,B2,water,189.12361568
A1,C2,water,186.15740768
A1,A3,water,189.12361568
A1,B3,water,189.12361568
A1,C3,water,186.15740768
A1,A4,water,189.12361568
A1,B4,water,189.12361568
A1,C4,water,189.12361568
A1,A5,water,189.12361568
A1,B5,water,189.12361568
A1,C5,water,186.15740768
A1,A6,water,189.12361568
A1,B6,water,189.12361568
A1,A7,water,189.12361568
