Source_Worklist,Well Nr. source plate,Well Nr. destination plate,Part,Volumen
Worklist_W,A1,A1,water,62.76098084375
Worklist_W,A1,B1,water,85.346344828125
Worklist_W,A1,C1,water,94.46587765363128
Worklist_W,A1,D1,water,80.54495457142858
Worklist_W,A1,E1,water,90.06426666666667
Worklist_W,A1,F1,water,90.06426666666667
Worklist_W,A1,A2,water,92.10642930232558
Worklist_W,A1,B2,water,139.09033219780218
Worklist_W,A1,C2,water,96.66034922077922
Worklist_W,A1,D2,water,93.49024640776699
Worklist_W,A1,E2,water,90.06426666666667
Worklist_W,A1,F2,water,90.06426666666667
Worklist_W,A1,A3,water,93.4332846728972
Worklist_W,A1,B3,water,139.76515701030928
Worklist_W,A1,C3,water,94.24642175824175
Worklist_W,A1,D3,water,82.74621990361446
Worklist_W,A1,E3,water,90.06426666666667
Worklist_W,A1,F3,water,90.06426666666667
Worklist_W,A1,A4,water,86.48648653061224
Worklist_W,A1,C4,water,94.0380665060241
Worklist_W,A1,D4,water,83.82585399999999
Worklist_W,A1,E4,water,90.06426666666667
Worklist_W,A1,F4,water,90.06426666666667
Worklist_W,A1,A5,water,92.7969176344086
Worklist_W,A1,C5,water,93.861295625
Worklist_W,A1,D5,water,83.51124561290322
Worklist_W,A1,E5,water,90.06426666666667
Worklist_W,A1,F5,water,90.06426666666667
Worklist_W,A1,A6,water,43.83147181818182
Worklist_W,A1,C6,water,93.17137818181818
Worklist_W,A1,E6,water,90.06426666666667
Worklist_W,A1,F6,water,90.06426666666667
Worklist_W,A1,C7,water,94.78456937198068
Worklist_W,A1,C8,water,93.95211133333333
Worklist_W,A1,C9,water,93.31031089430894
Worklist_W,A1,C10,water,96.36449056737588
Worklist_W,A1,C11,water,94.83575604166667
Worklist_DNA,A1,A1,pSyn,7.239019156250001
Worklist_DNA,B1,B1,RBS_01,4.653655171875001
Worklist_DNA,C1,C1,dapF,5.534122346368715
Worklist_DNA,D1,D1,trrnb,9.455045428571431
Worklist_DNA,E1,E1,UNS1_A,9.935733333333333
Worklist_DNA,F1,F1,UNS3_E,9.935733333333333
Worklist_DNA,A2,A2,pH36,7.893570697674419
Worklist_DNA,B2,B2,RBS_02,10.909667802197804
Worklist_DNA,C2,C2,dapC,3.3396507792207792
Worklist_DNA,D2,D2,tcg1,6.50975359223301
Worklist_DNA,E2,E2,UNS3_A,9.935733333333333
Worklist_DNA,F2,F2,UNS4_E,9.935733333333333
Worklist_DNA,A3,A3,placM,6.566715327102804
Worklist_DNA,B3,B3,RBS_03,10.234842989690724
Worklist_DNA,C3,C3,dapA,5.753578241758243
Worklist_DNA,D3,D3,T1m,7.253780096385542
Worklist_DNA,E3,E3,UNS4_A,9.935733333333333
Worklist_DNA,F3,F3,UNS5_E,9.935733333333333
Worklist_DNA,A4,A4,pJ23100,13.513513469387755
Worklist_DNA,C4,C4,dapB,5.961933493975903
Worklist_DNA,D4,D4,T18m,6.174146000000002
Worklist_DNA,E4,E4,UNS5_A,9.935733333333333
Worklist_DNA,F4,F4,UNS6_E,9.935733333333333
Worklist_DNA,A5,A5,p45,7.203082365591397
Worklist_DNA,C5,C5,dapD,6.1387043750000005
Worklist_DNA,D5,D5,trrnbT2,6.488754387096775
Worklist_DNA,E5,E5,UNS6_A,9.935733333333333
Worklist_DNA,F5,F5,UNS7_E,9.935733333333333
Worklist_DNA,A6,A6,pJ23116,6.168528181818183
Worklist_DNA,C6,C6,lysC,6.828621818181818
Worklist_DNA,E6,E6,UNS7_A,9.935733333333333
Worklist_DNA,F6,F6,UNS10_E,9.935733333333333
Worklist_DNA,C7,C7,hom,5.215430628019325
Worklist_DNA,C8,C8,dapE,6.047888666666667
Worklist_DNA,C9,C9,ask,6.689689105691057
Worklist_DNA,C10,C10,asd,3.6355094326241137
Worklist_DNA,C11,C11,lysA,5.1642439583333335
Worklist_PM_parts,B3,H1,RBS_03,65.0
Worklist_PM_parts,B1,H2,RBS_01,65.0
Worklist_PM_parts,B2,H3,RBS_02,65.0
Worklist_PM_parts,B2,H4,RBS_02,65.0
Worklist_PM_parts,B3,H5,RBS_03,65.0
Worklist_PM_parts,D1,H1,trrnb,65.0
Worklist_PM_parts,D4,H2,T18m,65.0
Worklist_PM_parts,D3,H3,T1m,65.0
Worklist_PM_parts,D2,H4,tcg1,65.0
Worklist_PM_parts,D5,H5,trrnbT2,65.0
Worklist_PM_parts,E1,H1,UNS1_A,65.0
Worklist_PM_parts,E3,H2,UNS4_A,65.0
Worklist_PM_parts,E4,H3,UNS5_A,65.0
Worklist_PM_parts,E5,H4,UNS6_A,65.0
Worklist_PM_parts,E6,H5,UNS7_A,65.0
Worklist_PM_parts,F2,H1,UNS4_E,65.0
Worklist_PM_parts,F3,H2,UNS5_E,65.0
Worklist_PM_parts,F4,H3,UNS6_E,65.0
Worklist_PM_parts,F5,H4,UNS7_E,65.0
Worklist_PM_parts,F6,H5,UNS10_E,65.0
Worklist_PM,H1,A1,Plasmidmix1,16.0
Worklist_PM,H1,B1,Plasmidmix1,16.0
Worklist_PM,H1,C1,Plasmidmix1,16.0
Worklist_PM,H1,D1,Plasmidmix1,16.0
Worklist_PM,H1,E1,Plasmidmix1,16.0
Worklist_PM,H1,F1,Plasmidmix1,16.0
Worklist_PM,H1,G1,Plasmidmix1,16.0
Worklist_PM,H2,H1,Plasmidmix2,16.0
Worklist_PM,H2,A2,Plasmidmix2,16.0
Worklist_PM,H2,B2,Plasmidmix2,16.0
Worklist_PM,H2,C2,Plasmidmix2,16.0
Worklist_PM,H2,D2,Plasmidmix2,16.0
Worklist_PM,H2,E2,Plasmidmix2,16.0
Worklist_PM,H2,F2,Plasmidmix2,16.0
Worklist_PM,H2,G2,Plasmidmix2,16.0
Worklist_PM,H2,H2,Plasmidmix2,16.0
Worklist_PM,H2,A3,Plasmidmix2,16.0
Worklist_PM,H2,B3,Plasmidmix2,16.0
Worklist_PM,H2,C3,Plasmidmix2,16.0
Worklist_PM,H2,D3,Plasmidmix2,16.0
Worklist_PM,H2,E3,Plasmidmix2,16.0
Worklist_PM,H3,F3,Plasmidmix3,16.0
Worklist_PM,H3,G3,Plasmidmix3,16.0
Worklist_PM,H3,H3,Plasmidmix3,16.0
Worklist_PM,H3,A4,Plasmidmix3,16.0
Worklist_PM,H3,B4,Plasmidmix3,16.0
Worklist_PM,H3,C4,Plasmidmix3,16.0
Worklist_PM,H3,D4,Plasmidmix3,16.0
Worklist_PM,H3,E4,Plasmidmix3,16.0
Worklist_PM,H3,F4,Plasmidmix3,16.0
Worklist_PM,H3,G4,Plasmidmix3,16.0
Worklist_PM,H4,H4,Plasmidmix4,16.0
Worklist_PM,H4,A5,Plasmidmix4,16.0
Worklist_PM,H4,B5,Plasmidmix4,16.0
Worklist_PM,H4,C5,Plasmidmix4,16.0
Worklist_PM,H4,D5,Plasmidmix4,16.0
Worklist_PM,H4,E5,Plasmidmix4,16.0
Worklist_PM,H4,F5,Plasmidmix4,16.0
Worklist_PM,H4,G5,Plasmidmix4,16.0
Worklist_PM,H4,H5,Plasmidmix4,16.0
Worklist_PM,H5,A6,Plasmidmix5,16.0
Worklist_PM,H5,B6,Plasmidmix5,16.0
Worklist_PM,H5,C6,Plasmidmix5,16.0
Worklist_PM,H5,D6,Plasmidmix5,16.0
Worklist_PM,H5,E6,Plasmidmix5,16.0
Worklist_PM,H5,F6,Plasmidmix5,16.0
Worklist_PM,H5,G6,Plasmidmix5,16.0
Worklist_PM,H5,H6,Plasmidmix5,16.0
Worklist_PM,H5,A7,Plasmidmix5,16.0
Worklist_MM,A1,A1,Mastermix1,6.0
Worklist_MM,B1,B1,Mastermix2,6.0
Worklist_MM,C1,C1,Mastermix3,6.0
Worklist_MM,D1,D1,Mastermix4,6.0
Worklist_MM,A1,E1,Mastermix1,6.0
Worklist_MM,B1,F1,Mastermix2,6.0
Worklist_MM,C1,G1,Mastermix3,6.0
Worklist_MM,D1,H1,Mastermix4,6.0
Worklist_MM,A1,A2,Mastermix1,6.0
Worklist_MM,B1,B2,Mastermix2,6.0
Worklist_MM,C1,C2,Mastermix3,6.0
Worklist_MM,D1,D2,Mastermix4,6.0
Worklist_MM,A1,E2,Mastermix1,6.0
Worklist_MM,B1,F2,Mastermix2,6.0
Worklist_MM,C1,G2,Mastermix3,6.0
Worklist_MM,D1,H2,Mastermix4,6.0
Worklist_MM,A1,A3,Mastermix1,6.0
Worklist_MM,B1,B3,Mastermix2,6.0
