Well Nr. source plate,Well Nr. destination plate,Part,Volumen
A1,A1,pSyn,7.239019156250001
B1,B1,RBS_01,4.653655171875001
C1,C1,dapF,5.534122346368715
D1,D1,trrnb,9.455045428571431
E1,E1,UNS1_A,9.935733333333333
F1,F1,UNS3_E,9.935733333333333
A2,A2,pH36,7.893570697674419
B2,B2,RBS_02,10.909667802197804
C2,C2,dapC,3.3396507792207792
D2,D2,tcg1,6.50975359223301
E2,E2,UNS3_A,9.935733333333333
F2,F2,UNS4_E,9.935733333333333
A3,A3,placM,6.566715327102804
B3,B3,RBS_03,10.234842989690724
C3,C3,dapA,5.753578241758243
D3,D3,T1m,7.253780096385542
E3,E3,UNS4_A,9.935733333333333
F3,F3,UNS5_E,9.935733333333333
A4,A4,pJ23100,13.513513469387755
C4,C4,dapB,5.961933493975903
D4,D4,T18m,6.174146000000002
E4,E4,UNS5_A,9.935733333333333
F4,F4,UNS6_E,9.935733333333333
A5,A5,p45,7.203082365591397
C5,C5,dapD,6.1387043750000005
D5,D5,trrnbT2,6.488754387096775
E5,E5,UNS6_A,9.935733333333333
F5,F5,UNS7_E,9.935733333333333
A6,A6,pJ23116,6.168528181818183
C6,C6,lysC,6.828621818181818
E6,E6,UNS7_A,9.935733333333333
F6,F6,UNS10_E,9.935733333333333
C7,C7,hom,5.215430628019325
C8,C8,dapE,6.047888666666667
C9,C9,ask,6.689689105691057
C10,C10,asd,3.6355094326241137
C11,C11,lysA,5.1642439583333335
