Well Nr. source plate,Well Nr. destination plate,Part,Volumen
A1,A1,water,0.0
A1,B1,water,0.0
A1,C1,water,0.0
A1,D1,water,0.0
A1,E1,water,0.0
A1,F1,water,0.0
A1,G1,water,0.0
A1,H1,water,0.0
A1,A2,water,0.0
A1,B2,water,0.0
A1,C2,water,0.0
A1,D2,water,0.0
A1,E2,water,0.0
A1,F2,water,0.0
A1,G2,water,0.0
A1,H2,water,0.0
A1,A3,water,0.0
A1,B3,water,0.0
A1,C3,water,0.0
A1,D3,water,0.0
A1,E3,water,0.0
A1,F3,water,0.0
A1,G3,water,0.0
A1,H3,water,0.0
A1,A4,water,0.0
A1,B4,water,0.0
A1,C4,water,0.0
A1,D4,water,0.0
A1,E4,water,0.0
A1,F4,water,0.0
A1,G4,water,0.0
A1,H4,water,0.0
A1,A5,water,0.0
A1,B5,water,0.0
A1,C5,water,0.0
A1,D5,water,0.0
A1,E5,water,0.0
A1,F5,water,0.0
A1,G5,water,0.0
A1,H5,water,0.0
A1,A6,water,0.0
A1,B6,water,0.0
A1,C6,water,0.0
A1,D6,water,0.0
A1,E6,water,0.0
A1,F6,water,0.0
A1,G6,water,0.0
A1,H6,water,0.0
A1,A7,water,0.0
