Well Nr. source plate,Well Nr. destination plate,Part,Volumen
C6,A1,lysC,4.0
C1,B1,dapF,4.0
C6,C1,lysC,4.0
C1,D1,dapF,4.0
C9,E1,ask,4.0
C6,F1,lysC,4.0
C1,G1,dapF,4.0
C9,H1,ask,4.0
C9,A2,ask,4.0
C2,B2,dapC,4.0
C4,C2,dapB,4.0
C9,D2,ask,4.0
C6,E2,lysC,4.0
C6,F2,lysC,4.0
C10,G2,asd,4.0
C3,H2,dapA,4.0
C7,A3,hom,4.0
C11,B3,lysA,4.0
C5,C3,dapD,4.0
C8,D3,dapE,4.0
C1,E3,dapF,4.0
C9,F3,ask,4.0
C6,G3,lysC,4.0
C2,H3,dapC,4.0
C3,A4,dapA,4.0
C1,B4,dapF,4.0
C7,C4,hom,4.0
C4,D4,dapB,4.0
C5,E4,dapD,4.0
C8,F4,dapE,4.0
C11,G4,lysA,4.0
C2,H4,dapC,4.0
C3,A5,dapA,4.0
C11,B5,lysA,4.0
C9,C5,ask,4.0
C6,D5,lysC,4.0
C4,E5,dapB,4.0
C1,F5,dapF,4.0
C5,G5,dapD,4.0
C8,H5,dapE,4.0
C6,A6,lysC,4.0
C11,B6,lysA,4.0
C3,C6,dapA,4.0
C9,D6,ask,4.0
C2,E6,dapC,4.0
C4,F6,dapB,4.0
C7,G6,hom,4.0
C5,H6,dapD,4.0
C8,A7,dapE,4.0
