Well Nr. source plate,Well Nr. destination plate,Part,Volumen
A1,A1,pSyn,4.0
A1,B1,pSyn,4.0
A3,C1,placM,4.0
A3,D1,placM,4.0
A1,E1,pSyn,4.0
A6,F1,pJ23116,4.0
A6,G1,pJ23116,4.0
A3,H1,placM,4.0
A1,A2,pSyn,4.0
A2,B2,pH36,4.0
A2,C2,pH36,4.0
A2,D2,pH36,4.0
A2,E2,pH36,4.0
A1,F2,pSyn,4.0
A3,G2,placM,4.0
A2,H2,pH36,4.0
A2,A3,pH36,4.0
A2,B3,pH36,4.0
A2,C3,pH36,4.0
A2,D3,pH36,4.0
A2,E3,pH36,4.0
A3,F3,placM,4.0
A3,G3,placM,4.0
A3,H3,placM,4.0
A3,A4,placM,4.0
A3,B4,placM,4.0
A3,C4,placM,4.0
A3,D4,placM,4.0
A3,E4,placM,4.0
A3,F4,placM,4.0
A3,G4,placM,4.0
A4,H4,pJ23100,4.0
A4,A5,pJ23100,4.0
A4,B5,pJ23100,4.0
A4,C5,pJ23100,4.0
A4,D5,pJ23100,4.0
A4,E5,pJ23100,4.0
A4,F5,pJ23100,4.0
A4,G5,pJ23100,4.0
A4,H5,pJ23100,4.0
A5,A6,p45,4.0
A5,B6,p45,4.0
A5,C6,p45,4.0
A5,D6,p45,4.0
A5,E6,p45,4.0
A5,F6,p45,4.0
A5,G6,p45,4.0
A5,H6,p45,4.0
A5,A7,p45,4.0
