Well Nr. source plate,Well Nr. destination plate,Part,Volumen
H1,A1,Plasmidmix1,16.0
H1,B1,Plasmidmix1,16.0
H1,C1,Plasmidmix1,16.0
H1,D1,Plasmidmix1,16.0
H1,E1,Plasmidmix1,16.0
H1,F1,Plasmidmix1,16.0
H1,G1,Plasmidmix1,16.0
H2,H1,Plasmidmix2,16.0
H2,A2,Plasmidmix2,16.0
H2,B2,Plasmidmix2,16.0
H2,C2,Plasmidmix2,16.0
H2,D2,Plasmidmix2,16.0
H2,E2,Plasmidmix2,16.0
H2,F2,Plasmidmix2,16.0
H2,G2,Plasmidmix2,16.0
H2,H2,Plasmidmix2,16.0
H2,A3,Plasmidmix2,16.0
H2,B3,Plasmidmix2,16.0
H2,C3,Plasmidmix2,16.0
H2,D3,Plasmidmix2,16.0
H2,E3,Plasmidmix2,16.0
H3,F3,Plasmidmix3,16.0
H3,G3,Plasmidmix3,16.0
H3,H3,Plasmidmix3,16.0
H3,A4,Plasmidmix3,16.0
H3,B4,Plasmidmix3,16.0
H3,C4,Plasmidmix3,16.0
H3,D4,Plasmidmix3,16.0
H3,E4,Plasmidmix3,16.0
H3,F4,Plasmidmix3,16.0
H3,G4,Plasmidmix3,16.0
H4,H4,Plasmidmix4,16.0
H4,A5,Plasmidmix4,16.0
H4,B5,Plasmidmix4,16.0
H4,C5,Plasmidmix4,16.0
H4,D5,Plasmidmix4,16.0
H4,E5,Plasmidmix4,16.0
H4,F5,Plasmidmix4,16.0
H4,G5,Plasmidmix4,16.0
H4,H5,Plasmidmix4,16.0
H5,A6,Plasmidmix5,16.0
H5,B6,Plasmidmix5,16.0
H5,C6,Plasmidmix5,16.0
H5,D6,Plasmidmix5,16.0
H5,E6,Plasmidmix5,16.0
H5,F6,Plasmidmix5,16.0
H5,G6,Plasmidmix5,16.0
H5,H6,Plasmidmix5,16.0
H5,A7,Plasmidmix5,16.0
