Well Nr. source plate,Well Nr. destination plate,Part,Volumen
A1,A1,water,62.76098084375
A1,B1,water,85.346344828125
A1,C1,water,94.46587765363128
A1,D1,water,80.54495457142858
A1,E1,water,90.06426666666667
A1,F1,water,90.06426666666667
A1,A2,water,92.10642930232558
A1,B2,water,139.09033219780218
A1,C2,water,96.66034922077922
A1,D2,water,93.49024640776699
A1,E2,water,90.06426666666667
A1,F2,water,90.06426666666667
A1,A3,water,93.4332846728972
A1,B3,water,139.76515701030928
A1,C3,water,94.24642175824175
A1,D3,water,82.74621990361446
A1,E3,water,90.06426666666667
A1,F3,water,90.06426666666667
A1,A4,water,86.48648653061224
A1,C4,water,94.0380665060241
A1,D4,water,83.82585399999999
A1,E4,water,90.06426666666667
A1,F4,water,90.06426666666667
A1,A5,water,92.7969176344086
A1,C5,water,93.861295625
A1,D5,water,83.51124561290322
A1,E5,water,90.06426666666667
A1,F5,water,90.06426666666667
A1,A6,water,43.83147181818182
A1,C6,water,93.17137818181818
A1,E6,water,90.06426666666667
A1,F6,water,90.06426666666667
A1,C7,water,94.78456937198068
A1,C8,water,93.95211133333333
A1,C9,water,93.31031089430894
A1,C10,water,96.36449056737588
A1,C11,water,94.83575604166667
