Well Nr. source plate,Well Nr. destination plate,Part,Volumen
A1,A1,water1,120.0
A1,B1,water1,120.0
A1,C1,water1,120.0
A1,D1,water1,120.0
A1,E1,water1,120.0
A1,F1,water1,120.0
A1,G1,water1,120.0
A1,H1,water1,120.0
A1,A2,water1,120.0
A1,B2,water1,120.0
A1,C2,water1,120.0
A1,D2,water1,120.0
A1,E2,water1,120.0
A1,F2,water1,120.0
A1,G2,water1,120.0
A1,H2,water1,120.0
A1,A3,water1,120.0
A1,B3,water1,120.0
A1,C3,water1,120.0
A1,D3,water1,120.0
A1,E3,water1,120.0
A1,F3,water1,120.0
A1,G3,water1,120.0
A1,H3,water1,120.0
A1,A4,water1,120.0
A1,B4,water1,120.0
A1,C4,water1,120.0
A1,D4,water1,120.0
A1,E4,water1,120.0
A1,F4,water1,120.0
A1,G4,water1,120.0
A1,H4,water1,120.0
A1,A5,water1,120.0
A1,B5,water1,120.0
A1,C5,water1,120.0
