Source_Worklist,Well Nr. source plate,Well Nr. destination plate,Part,Volumen
Worklist_W,A1,A1,water,86.34687151162791
Worklist_W,A1,F1,water,92.40722344642857
Worklist_W,A1,A2,water,79.67599385026739
Worklist_W,A1,B2,water,81.72601525679758
Worklist_W,A1,C2,water,91.30964789285714
Worklist_W,A1,D2,water,89.95777458333333
Worklist_DNA,A1,A1,TU1,13.653128488372095
Worklist_DNA,F1,F1,Plasmid_Backbone,7.59277655357143
Worklist_DNA,A2,A2,TU2_A,20.324006149732618
Worklist_DNA,B2,B2,TU2_B,18.27398474320242
Worklist_DNA,C2,C2,TU2_C,8.690352107142857
Worklist_DNA,D2,D2,TU2_D,10.042225416666668
Worklist_MM,A1,A1,mastermix1,7.5
Worklist_MM,A1,B1,mastermix1,7.5
Worklist_MM,A1,C1,mastermix1,7.5
Worklist_MM,A1,D1,mastermix1,7.5
Worklist_P,A1,A1,TU1,2.0
Worklist_P,A1,B1,TU1,2.0
Worklist_P,A1,C1,TU1,2.0
Worklist_P,A1,D1,TU1,2.0
Worklist_BB,F1,A1,Plasmid_Backbone,2.0
Worklist_BB,F1,B1,Plasmid_Backbone,2.0
Worklist_BB,F1,C1,Plasmid_Backbone,2.0
Worklist_BB,F1,D1,Plasmid_Backbone,2.0
Worklist_GoI,A2,A1,TU2_A,2.0
Worklist_GoI,B2,B1,TU2_B,2.0
Worklist_GoI,C2,C1,TU2_C,2.0
Worklist_GoI,D2,D1,TU2_D,2.0
Worklist_GG_water,A1,A1,water,9.0
Worklist_GG_water,A1,B1,water,9.0
Worklist_GG_water,A1,C1,water,9.0
Worklist_GG_water,A1,D1,water,9.0
