sequence_name,read_len,plasmid_file,plasmid_id,construct,strand,pid,core_len,score,start_ref,end_ref,snps,features_hit,concat_pos,min_feature_pid,rbs_pid,n_features_below_95,suspicious
EF73802034_EF73802034,1186,J23100_AB_B0033m_BC_DVA_ecPanD_B0015_DF_DVK_AF.gb,J23100_AB_B0033m_BC_,J23100_B0033m_ecPanD_B0015,F,100.0,577,556.0,0,565,0,"promoter:J23100 (100%), 5'UTR:B0033m (100%), CDS:EcPanD (100%), misc_feature:B0015 (100%)",0–565,100.0,,0,False
EF73802037_EF73802037,1196,J23107_AB_B0034m_BC_DVA_ecPanD_B0015_DF_DVK_AF.gb,J23107_AB_B0034m_BC_,J23107_B0034m_ecPanD_B0015,F,100.0,578,557.0,0,566,0,"promoter:J23107 (100%), RBS:B0034m (100%), CDS:EcPanD (100%), misc_feature:B0015 (100%)",0–566,100.0,100.0,0,False
EF73802046_EF73802046,1174,J23103_AB_B0033m_BC_DVA_ecPanD_B0015_DF_DVK_AF.gb,J23103_AB_B0033m_BC_,J23103_B0033m_ecPanD_B0015,F,100.0,577,556.0,0,565,0,"promoter:J23103 (100%), 5'UTR:B0033m (100%), CDS:EcPanD (100%), misc_feature:B0015 (100%)",0–565,100.0,,0,False
EF73802036_EF73802036,1168,J23106_AB_B0033m_BC_DVA_ecPanD_B0015_DF_DVK_AF.gb,J23106_AB_B0033m_BC_,J23106_B0033m_ecPanD_B0015,F,100.0,577,556.0,0,565,0,"promoter:J23106 (100%), 5'UTR:B0033m (100%), CDS:EcPanD (100%), misc_feature:B0015 (100%)",0–565,100.0,,0,False
EF73802035_EF73802035,1171,J23103_AB_BCD8_BC_DVA_ecPanD_B0015_DF_DVK_AF.gb,J23103_AB_BCD8_BC_DV,J23103_BCD8_ecPanD_B0015,F,100.0,641,620.0,0,629,0,"promoter:J23103 (100%), 5'UTR:BCD8 (100%), CDS:EcPanD (100%), misc_feature:B0015 (100%)",0–629,100.0,100.0,0,False
EF73802047_EF73802047,1175,J23106_AB_BCD8_BC_DVA_ecPanD_B0015_DF_DVK_AF.gb,J23106_AB_BCD8_BC_DV,J23106_BCD8_ecPanD_B0015,F,100.0,641,620.0,0,629,0,"promoter:J23106 (100%), 5'UTR:BCD8 (100%), CDS:EcPanD (100%), misc_feature:B0015 (100%)",0–629,100.0,100.0,0,False
EF73802038_EF73802038,1222,R0010_AB_B0032m_BC_DVA_ecPanD_B0015_DF_DVK_AF.gb,R0010_AB_B0032m_BC_D,B0032m_ecPanD_B0015,F,100.0,744,723.0,0,732,0,"promoter:R0010 (100%), 5'UTR:B0032m (100%), CDS:EcPanD (100%), misc_feature:B0015 (100%)",0–732,100.0,,0,False
EF73802049_EF73802049,1200,J23116_AB_B0034m_BC_DVA_ecPanD_B0015_DF_DVK_AF.gb,J23116_AB_B0034m_BC_,J23116_B0034m_ecPanD_B0015,F,100.0,578,557.0,0,566,0,"promoter:J23116 (100%), RBS:B0034m (100%), CDS:EcPanD (100%), misc_feature:B0015 (100%)",0–566,100.0,100.0,0,False
EF73802045_EF73802045,1235,J23100_AB_BCD12_BC_DVA_ecPanD_B0015_DF_DVK_AF.gb,J23100_AB_BCD12_BC_D,J23100_BCD12_ecPanD_B0015,F,100.0,641,620.0,0,629,0,"promoter:J23100 (100%), 5'UTR:BCD12 (100%), CDS:EcPanD (100%), misc_feature:B0015 (100%)",0–629,100.0,100.0,0,False
EF73802057_EF73802057,1210,J23103_AB_BCD12_BC_DVA_ecPanD_B0015_DF_DVK_AF.gb,J23103_AB_BCD12_BC_D,J23103_BCD12_ecPanD_B0015,F,100.0,641,620.0,0,629,0,"promoter:J23103 (100%), 5'UTR:BCD12 (100%), CDS:EcPanD (100%), misc_feature:B0015 (100%)",0–629,100.0,100.0,0,False
EF73802033_EF73802033,1175,J23102_AB_BCD12_BC_DVA_ecPanD_B0015_DF_DVK_AF.gb,J23102_AB_BCD12_BC_D,J23102_BCD12_ecPanD_B0015,F,100.0,641,620.0,0,629,0,"promoter:J23102 (100%), 5'UTR:BCD12 (100%), CDS:EcPanD (100%), misc_feature:B0015 (100%)",0–629,100.0,100.0,0,False
EF73802058_EF73802058,1110,J23106_AB_B0033m_BC_DVA_ecPanD_B0015_DF_DVK_AF.gb,J23106_AB_B0033m_BC_,J23106_B0033m_ecPanD_B0015,F,100.0,577,556.0,0,565,0,"promoter:J23106 (100%), 5'UTR:B0033m (100%), CDS:EcPanD (100%), misc_feature:B0015 (100%)",0–565,100.0,,0,False
EF73802048_EF73802048,1107,J23107_AB_B0033m_BC_DVA_ecPanD_B0015_DF_DVK_AF.gb,J23107_AB_B0033m_BC_,J23107_B0033m_ecPanD_B0015,F,100.0,577,556.0,0,565,0,"promoter:J23107 (100%), 5'UTR:B0033m (100%), CDS:EcPanD (100%), misc_feature:B0015 (100%)",0–565,100.0,,0,False
EF73802059_EF73802059,1171,J23107_AB_BCD8_BC_DVA_ecPanD_B0015_DF_DVK_AF.gb,J23107_AB_BCD8_BC_DV,J23107_BCD8_ecPanD_B0015,F,100.0,641,620.0,0,629,0,"promoter:J23107 (100%), 5'UTR:BCD8 (100%), CDS:EcPanD (100%), misc_feature:B0015 (100%)",0–629,100.0,100.0,0,False
EF73802060_EF73802060,1171,J23116_AB_B0033m_BC_DVA_ecPanD_B0015_DF_DVK_AF.gb,J23116_AB_B0033m_BC_,J23116_B0033m_ecPanD_B0015,F,100.0,577,556.0,0,565,0,"promoter:J23116 (100%), 5'UTR:B0033m (100%), CDS:EcPanD (100%), misc_feature:B0015 (100%)",0–565,100.0,,0,False
EF73802069_EF73802069,1237,J23106_AB_BCD12_BC_DVA_ecPanD_B0015_DF_DVK_AF.gb,J23106_AB_BCD12_BC_D,J23106_BCD12_ecPanD_B0015,F,100.0,641,620.0,0,629,0,"promoter:J23106 (100%), 5'UTR:BCD12 (100%), CDS:EcPanD (100%), misc_feature:B0015 (100%)",0–629,100.0,100.0,0,False
EF73802050_EF73802050,1177,R0010_AB_B0032m_BC_DVA_ecPanD_B0015_DF_DVK_AF.gb,R0010_AB_B0032m_BC_D,B0032m_ecPanD_B0015,F,100.0,744,723.0,0,732,0,"promoter:R0010 (100%), 5'UTR:B0032m (100%), CDS:EcPanD (100%), misc_feature:B0015 (100%)",0–732,100.0,,0,False
