sequence_name,read_len,plasmid_file,plasmid_id,construct,strand,pid,core_len,score,start_ref,end_ref,snps,features_hit,concat_pos,min_feature_pid,rbs_pid,n_features_below_95,suspicious
EF73256863_EF73256863,1203,B0015_DF_BCD8_BC_DVA_cgPanD_CD_DVK_AF_J23100_AB.gb,B0015_DF_BCD8_BC_DVA,J23100_BCD8_PanD_B0015,F,100.0,671,650.0,0,659,0,"misc_feature:J23100 (100%), 5'UTR:BCD8 (100%), CDS:PanD (100%), misc_feature:B0015 (100%)",0–659,100.0,,0,False
EF73290162_EF73290162,1265,B0015_DF_BCD2_BC_DVA_cgPanD_CD_DVK_AF_J23100_AB.gb,B0015_DF_BCD2_BC_DVA,J23100_BCD2_PanD_B0015,F,100.0,671,650.0,0,659,0,"misc_feature:J23100 (100%), 5'UTR:BCD2 (100%), CDS:PanD (100%), misc_feature:B0015 (100%)",0–659,100.0,,0,False
EF73290161_EF73290161,1266,B0015_DF_BCD12_BC_DVA_cgPanD_CD_DVK_AF_J23102_AB.gb,B0015_DF_BCD12_BC_DV,J23102_BCD12_PanD_B0015,F,99.84825493171472,671,648.0,0,659,1,"misc_feature:J23102 (97%), 5'UTR:BCD12 (100%), CDS:PanD (100%), misc_feature:B0015 (100%)",0–659,100.0,,0,False
EF73290163_EF73290163,1263,B0015_DF_BCD8_BC_DVA_cgPanD_CD_DVK_AF_J23103_AB.gb,B0015_DF_BCD8_BC_DVA,J23103_BCD8_PanD_B0015,F,100.0,671,650.0,0,659,0,"misc_feature:J23103 (100%), 5'UTR:BCD8 (100%), CDS:PanD (100%), misc_feature:B0015 (100%)",0–659,100.0,,0,False
EF73290166_EF73290166,1140,B0015_DF_B0032m_BC_DVA_cgPanD_CD_DVK_AF_J23116_AB.gb,B0015_DF_B0032m_BC_D,J23116_B0032m_PanD_B0015,F,100.0,609,588.0,0,597,0,"misc_feature:J23116 (100%), 5'UTR:B0032m (100%), CDS:PanD (100%), misc_feature:B0015 (100%)",0–597,100.0,,0,False
EF73290168_EF73290168,172,B0015_DF_B0034m_BC_DVA_cgPanD_CD_DVK_AF_J23100_AB.gb,B0015_DF_B0034m_BC_D,J23100_B0034m_PanD_B0015,F,97.43589743589743,42,30.5,0,39,1,"misc_feature:J23100 (100%), RBS:B0034m (50%)",0–39,100.0,,0,False
EF73290167_EF73290167,1265,B0015_DF_BCD2_BC_DVA_cgPanD_CD_DVK_AF_J23100_AB.gb,B0015_DF_BCD2_BC_DVA,J23100_BCD2_PanD_B0015,F,100.0,671,650.0,0,659,0,"misc_feature:J23100 (100%), 5'UTR:BCD2 (100%), CDS:PanD (100%), misc_feature:B0015 (100%)",0–659,100.0,,0,False
EF73290165_EF73290165,1275,B0015_DF_B0034m_BC_DVA_cgPanD_CD_DVK_AF_J23107_AB.gb,B0015_DF_B0034m_BC_D,J23107_B0034m_PanD_B0015,F,100.0,608,587.0,0,596,0,"misc_feature:J23107 (100%), RBS:B0034m (100%), CDS:PanD (100%), misc_feature:B0015 (100%)",0–596,100.0,,0,False
EF73290164_EF73290164,1274,B0015_DF_B0033m_BC_DVA_cgPanD_CD_DVK_AF_J23106_AB.gb,B0015_DF_B0033m_BC_D,J23106_B0033m_PanD_B0015,F,100.0,607,586.0,0,595,0,"misc_feature:J23106 (100%), 5'UTR:B0033m (100%), CDS:PanD (100%), misc_feature:B0015 (100%)",0–595,100.0,,0,False
EF73290170_EF73290170,1200,B0015_DF_B0033m_BC_DVA_cgPanD_CD_DVK_AF_J23106_AB.gb,B0015_DF_B0033m_BC_D,J23106_B0033m_PanD_B0015,F,100.0,607,586.0,0,595,0,"misc_feature:J23106 (100%), 5'UTR:B0033m (100%), CDS:PanD (100%), misc_feature:B0015 (100%)",0–595,100.0,,0,False
EF73290169_EF73290169,1166,B0015_DF_BCD8_BC_DVA_cgPanD_CD_DVK_AF_J23103_AB.gb,B0015_DF_BCD8_BC_DVA,J23103_BCD8_PanD_B0015,F,100.0,671,650.0,0,659,0,"misc_feature:J23103 (100%), 5'UTR:BCD8 (100%), CDS:PanD (100%), misc_feature:B0015 (100%)",0–659,100.0,,0,False
EF73290172_EF73290172,1274,B0015_DF_B0032m_BC_DVA_cgPanD_CD_DVK_AF_J23116_AB.gb,B0015_DF_B0032m_BC_D,J23116_B0032m_PanD_B0015,F,100.0,609,588.0,0,597,0,"misc_feature:J23116 (100%), 5'UTR:B0032m (100%), CDS:PanD (100%), misc_feature:B0015 (100%)",0–597,100.0,,0,False
EF73290171_EF73290171,1272,B0015_DF_B0034m_BC_DVA_cgPanD_CD_DVK_AF_J23107_AB.gb,B0015_DF_B0034m_BC_D,J23107_B0034m_PanD_B0015,F,100.0,608,587.0,0,596,0,"misc_feature:J23107 (100%), RBS:B0034m (100%), CDS:PanD (100%), misc_feature:B0015 (100%)",0–596,100.0,,0,False
EF73290176_EF73290176,1218,B0015_DF_B0033m_BC_DVA_cgPanD_CD_DVK_AF_J23107_AB.gb,B0015_DF_B0033m_BC_D,J23107_B0033m_PanD_B0015,F,100.0,607,586.0,0,595,0,"misc_feature:J23107 (100%), 5'UTR:B0033m (100%), CDS:PanD (100%), misc_feature:B0015 (100%)",0–595,100.0,,0,False
EF73290174_EF73290174,1261,B0015_DF_BCD2_BC_DVA_cgPanD_CD_DVK_AF_J23103_AB.gb,B0015_DF_BCD2_BC_DVA,J23103_BCD2_PanD_B0015,F,100.0,671,650.0,0,659,0,"misc_feature:J23103 (100%), 5'UTR:BCD2 (100%), CDS:PanD (100%), misc_feature:B0015 (100%)",0–659,100.0,,0,False
EF73290173_EF73290173,1264,B0015_DF_BCD12_BC_DVA_cgPanD_CD_DVK_AF_J23103_AB.gb,B0015_DF_BCD12_BC_DV,J23103_BCD12_PanD_B0015,F,99.69650986342944,671,646.0,0,659,2,"misc_feature:J23103 (94%), 5'UTR:BCD12 (100%), CDS:PanD (100%), misc_feature:B0015 (100%)",0–659,100.0,,0,False
EF73290175_EF73290175,1167,B0015_DF_BCD8_BC_DVA_cgPanD_CD_DVK_AF_J23106_AB.gb,B0015_DF_BCD8_BC_DVA,J23106_BCD8_PanD_B0015,F,100.0,671,650.0,0,659,0,"misc_feature:J23106 (100%), 5'UTR:BCD8 (100%), CDS:PanD (100%), misc_feature:B0015 (100%)",0–659,100.0,,0,False
EF73290177_EF73290177,1234,B0015_DF_B0034m_BC_DVA_cgPanD_CD_DVK_AF_J23116_AB.gb,B0015_DF_B0034m_BC_D,J23116_B0034m_PanD_B0015,F,100.0,608,587.0,0,596,0,"misc_feature:J23116 (100%), RBS:B0034m (100%), CDS:PanD (100%), misc_feature:B0015 (100%)",0–596,100.0,,0,False
EF73290178_EF73290178,1261,B0015_DF_B0032m_BC_DVA_cgPanD_CD_DVK_AF_R0010_AB.gb,B0015_DF_B0032m_BC_D,B0032m_PanD_B0015,F,100.0,774,753.0,0,762,0,"misc_feature:R0010 (100%), 5'UTR:B0032m (100%), CDS:PanD (100%), misc_feature:B0015 (100%)",0–762,100.0,,0,False
EF73290179_EF73290179,1262,B0015_DF_BCD2_BC_DVA_cgPanD_CD_DVK_AF_J23103_AB.gb,B0015_DF_BCD2_BC_DVA,J23103_BCD2_PanD_B0015,F,100.0,671,650.0,0,659,0,"misc_feature:J23103 (100%), 5'UTR:BCD2 (100%), CDS:PanD (100%), misc_feature:B0015 (100%)",0–659,100.0,,0,False
EF73290180_EF73290180,1265,B0015_DF_BCD2_BC_DVA_cgPanD_CD_DVK_AF_J23103_AB.gb,B0015_DF_BCD2_BC_DVA,J23103_BCD2_PanD_B0015,F,100.0,671,650.0,0,659,0,"misc_feature:J23103 (100%), 5'UTR:BCD2 (100%), CDS:PanD (100%), misc_feature:B0015 (100%)",0–659,100.0,,0,False
EF73290181_EF73290181,1086,B0015_DF_BCD8_BC_DVA_cgPanD_CD_DVK_AF_J23106_AB.gb,B0015_DF_BCD8_BC_DVA,J23106_BCD8_PanD_B0015,F,100.0,671,650.0,0,659,0,"misc_feature:J23106 (100%), 5'UTR:BCD8 (100%), CDS:PanD (100%), misc_feature:B0015 (100%)",0–659,100.0,,0,False
EF73290182_EF73290182,1204,B0015_DF_B0033m_BC_DVA_cgPanD_CD_DVK_AF_J23107_AB.gb,B0015_DF_B0033m_BC_D,J23107_B0033m_PanD_B0015,F,100.0,607,586.0,0,595,0,"misc_feature:J23107 (100%), 5'UTR:B0033m (100%), CDS:PanD (100%), misc_feature:B0015 (100%)",0–595,100.0,,0,False
EF73290183_EF73290183,1275,B0015_DF_B0034m_BC_DVA_cgPanD_CD_DVK_AF_J23116_AB.gb,B0015_DF_B0034m_BC_D,J23116_B0034m_PanD_B0015,F,100.0,608,587.0,0,596,0,"misc_feature:J23116 (100%), RBS:B0034m (100%), CDS:PanD (100%), misc_feature:B0015 (100%)",0–596,100.0,,0,False
EF73290185_EF73290185,1203,B0015_DF_BCD2_BC_DVA_cgPanD_CD_DVK_AF_J23106_AB.gb,B0015_DF_BCD2_BC_DVA,J23106_BCD2_PanD_B0015,F,99.84825493171472,671,648.0,0,659,1,"misc_feature:J23106 (97%), 5'UTR:BCD2 (100%), CDS:PanD (100%), misc_feature:B0015 (100%)",0–659,100.0,,0,False
EF73290184_EF73290184,1214,B0015_DF_B0032m_BC_DVA_cgPanD_CD_DVK_AF_R0010_AB.gb,B0015_DF_B0032m_BC_D,B0032m_PanD_B0015,F,100.0,774,753.0,0,762,0,"misc_feature:R0010 (100%), 5'UTR:B0032m (100%), CDS:PanD (100%), misc_feature:B0015 (100%)",0–762,100.0,,0,False
EF73290186_EF73290186,1203,B0015_DF_BCD2_BC_DVA_cgPanD_CD_DVK_AF_J23106_AB.gb,B0015_DF_BCD2_BC_DVA,J23106_BCD2_PanD_B0015,F,100.0,671,650.0,0,659,0,"misc_feature:J23106 (100%), 5'UTR:BCD2 (100%), CDS:PanD (100%), misc_feature:B0015 (100%)",0–659,100.0,,0,False
EF73290187_EF73290187,1165,B0015_DF_BCD8_BC_DVA_cgPanD_CD_DVK_AF_J23107_AB.gb,B0015_DF_BCD8_BC_DVA,J23107_BCD8_PanD_B0015,F,100.0,671,650.0,0,659,0,"misc_feature:J23107 (100%), 5'UTR:BCD8 (100%), CDS:PanD (100%), misc_feature:B0015 (100%)",0–659,100.0,,0,False
EF73290188_EF73290188,1274,B0015_DF_B0033m_BC_DVA_cgPanD_CD_DVK_AF_J23116_AB.gb,B0015_DF_B0033m_BC_D,J23116_B0033m_PanD_B0015,F,100.0,607,586.0,0,595,0,"misc_feature:J23116 (100%), 5'UTR:B0033m (100%), CDS:PanD (100%), misc_feature:B0015 (100%)",0–595,100.0,,0,False
EF73290192_EF73290192,1092,B0015_DF_BCD2_BC_DVA_cgPanD_CD_DVK_AF_J23106_AB.gb,B0015_DF_BCD2_BC_DVA,J23106_BCD2_PanD_B0015,F,100.0,672,648.5,0,659,0,"misc_feature:J23106 (100%), 5'UTR:BCD2 (100%), CDS:PanD (100%), misc_feature:B0015 (100%)",0–659,100.0,,0,False
EF73290191_EF73290191,1204,B0015_DF_BCD2_BC_DVA_cgPanD_CD_DVK_AF_J23106_AB.gb,B0015_DF_BCD2_BC_DVA,J23106_BCD2_PanD_B0015,F,100.0,671,650.0,0,659,0,"misc_feature:J23106 (100%), 5'UTR:BCD2 (100%), CDS:PanD (100%), misc_feature:B0015 (100%)",0–659,100.0,,0,False
EF73290189_EF73290189,1214,B0015_DF_B0034m_BC_DVA_cgPanD_CD_DVK_AF_R0010_AB.gb,B0015_DF_B0034m_BC_D,B0034m_PanD_B0015,F,100.0,773,752.0,0,761,0,"misc_feature:R0010 (100%), RBS:B0034m (100%), CDS:PanD (100%), misc_feature:B0015 (100%)",0–761,100.0,,0,False
EF73290193_EF73290193,1265,B0015_DF_BCD8_BC_DVA_cgPanD_CD_DVK_AF_J23107_AB.gb,B0015_DF_BCD8_BC_DVA,J23107_BCD8_PanD_B0015,F,100.0,671,650.0,0,659,0,"misc_feature:J23107 (100%), 5'UTR:BCD8 (100%), CDS:PanD (100%), misc_feature:B0015 (100%)",0–659,100.0,,0,False
EF73290194_EF73290194,1230,B0015_DF_B0033m_BC_DVA_cgPanD_CD_DVK_AF_J23116_AB.gb,B0015_DF_B0033m_BC_D,J23116_B0033m_PanD_B0015,F,100.0,607,586.0,0,595,0,"misc_feature:J23116 (100%), 5'UTR:B0033m (100%), CDS:PanD (100%), misc_feature:B0015 (100%)",0–595,100.0,,0,False
